X,Y,OBJECTID,Store_Name,Address,City,Zip,Notes,Phone,Local_Fare,Express_Fare,Reduced_Fare,POINT_X,POINT_Y
-112.202374445859,33.6105771581391,17,Thunderbird Petroleum,6691 W. Thunderbird Rd.,Glendale,85306,,(623) 979-6613,"1-Day, 31-Day",,"1-Day, 31-Day",-112.202374445859,33.6105771581391
-112.120192371272,33.5964220379298,18,Westown Chevron,2850 W. Cactus Rd.,Phoenix,85029,,(602) 993-9980,"1-Day, 31-Day",,1-Day,-112.120192371272,33.5964220379298
-112.030168119819,33.4876620794313,19,GCJ Liquor and Market,3407 N. 24th Street,Phoenix,85016,,(602) 954-9858,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.030168119819,33.4876620794313
-111.873114133349,33.4221015712829,20,University Market,1931 W. University Dr.,Mesa,85201,,(480) 969-2078,"1-Day, 7-Day",,"1-Day, 7-Day",-111.873114133349,33.4221015712829
-111.839788461961,33.435227702942,21,Fairway Market,340 W. Brown Rd.,Mesa,85201,,(480) 969-6554,"1-Day, 7-Day",,1-Day,-111.839788461961,33.435227702942
-112.073366711794,33.3777246435977,22,South Mountain Liquor,1 West Baseline Rd.,Phoenix,85041,,(602) 330.2601,1-Day,,1-Day,-112.073366711794,33.3777246435977
-111.981589122587,33.4801268332698,23,AZ1 Smoke Shop aka Hermes Market,4617 E. Thomas Rd.,Phoenix,85018,,(480) 225-8856,"1-Day, 7-Day",,"1-Day, 7-Day",-111.981589122587,33.4801268332698
-111.822891690959,33.39284098402,24,A and E Market,1231 S. Mesa Dr.,Mesa,85210,,(480) 833-3338,1-Day,,1-Day,-111.822891690959,33.39284098402
-112.116980505177,33.502282074513,25,El Super Rancho,4501 N. 27th Ave.,Phoenix,85017,,(602) 844-6364,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.116980505177,33.502282074513
-112.197641981058,33.5384369399398,26,"Order Express, Inc.",6402 W. Glendale Ave.,Glendale,85301,,(623) 934-9254,"1-Day, 7-Day, 15-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.197641981058,33.5384369399398
-112.171617005797,33.4798068822288,27,"Order Express, Inc.",2861 N. 52nd Avenue,Phoenix,85035,,(602) 278-2215,"1-Day, 7-Day, 15-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.171617005797,33.4798068822288
-111.939413983824,33.3796238178121,28,Mill Fuel and Food,5124 S. Mill Ave.,Tempe,85282,,(480) 275-8475,1-Day,,1-Day,-111.939413983824,33.3796238178121
-111.861946301608,33.3060089149752,29,ARCO AMPM,1105 W. Chandler Blvd.,Chandler,85224,,(480) 216-6700,1-Day,,1-Day,-111.861946301608,33.3060089149752
-112.151537670933,33.5533983100246,30,Lola's African Variety Store,8021 N. 43rd Ave.,Phoenix,85051,,(623) 986-5751,"1-Day, 7-Day",,"1-Day, 7-Day",-112.151537670933,33.5533983100246
-111.884397821733,33.4220712237439,31,Sunshine Convenience Mart,2531 E. University Dr.,Tempe,85281,,(480) 968-6030,1-Day,,,-111.884397821733,33.4220712237439
-112.135699046657,33.451385802497,32,"Order Express, Inc.",3555 W. Van Buren St.,Phoenix,85009,,(602) 272-0595,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.135699046657,33.451385802497
-112.116045999671,33.509429731943,33,Big Dollar Store,2657 W. Camelback Rd.,Phoenix,85017,,(602) 544-0710,"1-Day, 7-Day",,1-Day,-112.116045999671,33.509429731943
-112.134245505772,33.4804488389292,34,"Arizona Financial Service Centers, Inc.",3443 W. Thomas Rd.,Phoenix,85017,,(602) 272-1300,"1-Day, 7-Day, 31-Day",,"1-Day, 15-Day",-112.134245505772,33.4804488389292
-111.948009412393,33.4074009578077,35,Kwik Mart,606 W. Broadway Rd.,Tempe,85282,,(480) 968-1348,1-Day,,1-Day,-111.948009412393,33.4074009578077
-112.116094351819,33.4949244883313,36,Tumbleweed Valero,2649 W. Indian School Rd.,Phoenix,85017,,(602) 285-5635,1-Day,,1-Day,-112.116094351819,33.4949244883313
-112.030208471736,33.4713257179741,37,Gary's Liquor,2131 N. 24th Street,Phoenix,85008,,(602) 286-0540,1-Day,,1-Day,-112.030208471736,33.4713257179741
-112.099812863938,33.640154274139,38,"Cash and More II, Inc.",1902 W. Bell Rd.,Phoenix,85023,,(602) 896-1900,"1-Day, 7-Day, 31-Day",,"1-Day, 15-Day",-112.099812863938,33.640154274139
-112.056779306119,33.5676530464089,39,F1 Food and Fuel,8941 N. 12th Street,Phoenix,85020,,(602) 371-0331,"1-Day, 31-Day",,"1-Day, 31-Day",-112.056779306119,33.5676530464089
-112.203360383147,33.4593104487054,40,Corner Store,1111 N. 67th Ave.,Phoenix,85043,,(623) 907-4507,1-Day,,1-Day,-112.203360383147,33.4593104487054
-112.073879127707,33.5666783483586,41,76 Gas / Central Food Mart,8941 N. Central Ave.,Phoenix,85020,,(602) 870-8707 ,1-Day,,1-Day,-112.073879127707,33.5666783483586
-111.805251661001,33.4229836671463,42,Circle K,415 N. Stapley Dr.,Mesa,85203,,(480) 833-0031,1-Day,,1-Day,-111.805251661001,33.4229836671463
-112.030822581759,33.632432329557,43,Ray's Smoke Shop,16026 N. Cave Creek Rd.,Phoenix,85032,,(602) 494-2853,"1-Day, 31-Day",,"1-Day, 31-Day",-112.030822581759,33.632432329557
-112.166233626663,33.4805267111288,44,Quick Corner Market,5026 W. Thomas Rd.,Phoenix,85031,,(602) 233-9120,1-Day,,1-Day,-112.166233626663,33.4805267111288
-112.186273153983,33.5195529830489,45,Pronto Mart,5635 N. 59th Ave.,Glendale,85301,,(602) 380-6142,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.186273153983,33.5195529830489
-112.151546749005,33.5384195390462,46,Circle K,4303 W. Glendale Ave.,Glendale,85301,,(602) 931-5058,1-Day,,1-Day,-112.151546749005,33.5384195390462
-112.235980323311,33.4942898327003,47,Ray's Smoke and More,8225 W. Indian School Rd.,Phoenix,85033,,(623) 873-1916,1-Day,,1-Day,-112.235980323311,33.4942898327003
-112.169753706766,33.5674783422,48,Circle K,5155 W. Olive Ave.,Glendale,85302,,(623) 931-5063,1-Day,,1-Day,-112.169753706766,33.5674783422
-111.789730844306,33.3111477106741,49,Circle K,3155 S. Gilbert Rd.,Gilbert,85295,,(480) 855-7316,1-Day,,1-Day,-111.789730844306,33.3111477106741
-111.68635448402,33.2849291702868,50,Circle K,7260 S. Power Rd.,Gilbert,85297,,(480) 279-5786,1-Day,,1-Day,-111.68635448402,33.2849291702868
-111.841573929576,33.3208168114456,51,Food City 26,1005 N. Arizona Ave.,Chandler,85225,,(480) 857-2198,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-111.841573929576,33.3208168114456
-111.788773766613,33.4517689319281,52,Bashas,1954 E. McKellips Road,Mesa,85203,,(480) 833-3343,1-Day,,"1-Day, 15-Day",-111.788773766613,33.4517689319281
-111.789682106342,33.3037905656474,53,Circle K,3030 S. Gilbert Rd.,Chandler,85225,,(480) 895-3172,1-Day,,1-Day,-111.789682106342,33.3037905656474
-111.927049180608,33.4147277936308,54,Campus Chevron,825 E. Apache Blvd.,Tempe,85281,,(480) 966-3330,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.927049180608,33.4147277936308
-111.84181820181,33.3494642536782,55,Circle K,2990 N. Arizona Ave.,Chandler,85225,,(480) 892-0597,1-Day,,1-Day,-111.84181820181,33.3494642536782
-111.562987129189,33.4150810315218,56,Circle K,1550 W. Apache Trail,Apache Junction,85120,,(480) 982-6774,1-Day,,1-Day,-111.562987129189,33.4150810315218
-111.900052118432,33.5239309338142,57,7-Eleven,8410 E. McDonald,Scottsdale,85250,,(480) 948-7363,1-Day,,1-Day,-111.900052118432,33.5239309338142
-111.789813797551,33.3646998542411,58,Speedsmart 105,815 N. Gilbert Rd.,Gilbert,85234,,(480) 892-0200,1-Day,,1-Day,-111.789813797551,33.3646998542411
-111.908273271016,33.4075231666591,59,Speedsmart 108,1808 E. Broadway Rd.,Tempe,85282,,(480) 966-7585,1-Day,,1-Day,-111.908273271016,33.4075231666591
-111.722529324497,33.3793027516734,60,Circle K,5202 E. Baseline Rd.,Gilbert,85234,,(480) 396-1008,1-Day,,1-Day,-111.722529324497,33.3793027516734
-111.806236855735,33.4224282437921,61,Speedsmart 107,1158 W. University Dr.,Mesa,85203,,(408) 610-0503,1-Day,,1-Day,-111.806236855735,33.4224282437921
-112.151483412277,33.531546763843,62,43rd Ave. Market,6520 N. 43rd Ave.,Glendale,85301,,(623) 939-0615,"1-Day, 7-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.151483412277,33.531546763843
-111.686278051058,33.3072148895232,63,Chevron,6822 E. Williams Field Rd.,Mesa,85212,,(480) 840-3627,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.686278051058,33.3072148895232
-111.718371151606,33.4155287477823,64,U Stop Convenience,5207 E. Main St.,Mesa,85205,,(480) 325-6545,1-Day,,1-Day,-111.718371151606,33.4155287477823
-111.856051861873,33.4076204247571,65,Valero in the Zone,1163 W. Broadway Rd.,Mesa,85210,,(480) 668-5803,"1-Day, 31-Day",,31-Day,-111.856051861873,33.4076204247571
-112.168100427872,33.5674764474222,66,New Easy Trip Shell,5059 W. Olive Ave.,Glendale,85302,,(623) 934-9470,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-112.168100427872,33.5674764474222
-111.926425475936,33.4511466919489,67,Valero in the Zone,1925 N. Scottsdale Rd.,Tempe,85281,,(480) 947-0233,"1-Day, 31-Day",,31-Day,-111.926425475936,33.4511466919489
-111.684452468884,33.4085622749501,68,Majed 5 - A Fuel Stop 101 Co.,6807 E. Broadway Rd.,Mesa,85208,,(480) 218-1995,1-Day,,1-Day,-111.684452468884,33.4085622749501
-112.024065962333,33.6550480332988,69,ARCO AM/PM,2711 W. Union Hills Dr.,Phoenix,85050,,(602) 896-8491,"1-Day, 31-Day",,1-Day,-112.024065962333,33.6550480332988
-112.151328841548,33.6546175372693,70,Union Hills Chevron,4250 W. Union Hills Drive,Glendale,85308,,(623) 434-5847,1-Day,,"1-Day, 7-Day",-112.151328841548,33.6546175372693
-111.78981705429,33.3219189896406,71,Valero in the Zone,1570 S. Gilbert,Gilbert,85296,,(480) 917-1402,"1-Day, 31-Day",,1-Day,-111.78981705429,33.3219189896406
-111.688227600471,33.3793139200209,72,Circle K,6761 E. Baseline,Mesa,85236,,(480) 830-8983,1-Day,,1-Day,-111.688227600471,33.3793139200209
-112.11646281146,33.6837704435512,73,ARCO AM/PM,2635 W. Deer Valley Rd.,Phoenix,85027,,(623) 581-8938,"1-Day, 31-Day",,1-Day,-112.11646281146,33.6837704435512
-111.59802892131,33.4159045409379,74,Valero in the Zone,28 N. Signal Butte,Apache Junction,85120,,(480) 984-9125,"1-Day, 31-Day",,1-Day,-111.59802892131,33.4159045409379
-111.995447984926,33.4226394870319,75,40th Street Chevron,2711 S. 40th St.,Phoenix,85034,,(623) 866-5190,"1-Day, 31-Day",,"1-Day, 31-Day",-111.995447984926,33.4226394870319
-111.859650407046,33.3787675722698,76,ARCO AM/PM,1150 W. Baseline,Mesa,85210,,(480) 413-0255,"1-Day, 31-Day",,1-Day,-111.859650407046,33.3787675722698
-112.056395139125,33.4731374985102,77,Sunshine Market,2302 N. 12th St.,Phoenix,85006,,(602) 253-8952,"1-Day, 7-Day",,"1-Day, 7-Day",-112.056395139125,33.4731374985102
-112.012872235567,33.4587005345373,78,Valero in the Zone,1003 N. 32nd St.,Phoenix,85008,,(602) 685-0226,"1-Day, 31-Day",,1-Day,-112.012872235567,33.4587005345373
-112.06490322637,33.5092053568984,79,Fuel Stop 101,701 E. Camelback Rd.,Phoenix,85014,,(602) 266-2023,"1-Day, 7-Day",,1-Day,-112.06490322637,33.5092053568984
-111.70483207565,33.3649129080431,80,Valero in the Zone,3981 E. Guadalupe Rd.,Gilbert,85234,,(480) 813-9622,"1-Day, 31-Day",,1-Day,-111.70483207565,33.3649129080431
-112.097685817978,33.4367127474338,81,W-Y Market,1819 W. Buckeye Rd.,Phoenix,85007,,(602) 614-7128,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.097685817978,33.4367127474338
-112.202519115369,33.6253528503843,82,Geno's Market,15414 N. 67th Ave.,Glendale,85306,,(623) 334-3063,"1-Day, 7-Day",,"1-Day, 7-Day",-112.202519115369,33.6253528503843
-112.204432246765,33.5383233448619,83,Mike's Smoke Shop,"6766 W. Glendale Ave.
Suite 125",Glendale,85303,,(623) 399-6931,1-Day,,1-Day,-112.204432246765,33.5383233448619
-112.184033434034,33.3919051237445,84,Laveen Chevron,5115 W. Southern Ave.,Laveen,85339,,(480) 663-6996,"1-Day, 31-Day",,"1-Day, 31-Day",-112.184033434034,33.3919051237445
-112.08214006295,33.392194406394,85,Sahara Shell,709 W. Southern Ave.,Phoenix,85041,,(602) 694-4097,1-Day,,1-Day,-112.08214006295,33.392194406394
-111.813817873175,33.4224047493967,86,ABC Food Store,816 E. University Dr.,Mesa,85203,,(480) 314-4252,"1-Day, 7-Day, 15-Day",,"1-Day, 7-Day, 15-Day",-111.813817873175,33.4224047493967
-112.012676616295,33.4952570080002,87,Speedmart Shell Gas Station,3208 E. Indian School Rd.,Phoenix,85018,,(602) 957-8818,"1-Day, 31-Day",,1-Day,-112.012676616295,33.4952570080002
-112.039493937144,33.4586791650329,88,Valley Kwik Mart,1938 E. Roosevelt St.,Phoenix,85006,,(602) 252-5524,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.039493937144,33.4586791650329
-111.963148403504,33.3635553297221,89,Guadalupe Farmers Market,9210 S. Avenida Del Yaqui,Tempe,85283,,(480) 730-1945,1-Day,,1-Day,-111.963148403504,33.3635553297221
-111.683985296188,33.4674898891582,90,Bashas' #73,2864 N. Power Rd.,Mesa,85215,,(480) 830-7900,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.683985296188,33.4674898891582
-112.106501947466,33.7146466749258,91,Jacksons Car Wash,2501 W. Happy Valley Rd.,Phoenix,85027,,(623) 344-7900,"1-Day, 7-Day",,,-112.106501947466,33.7146466749258
-111.750939568585,33.292734316315,92,Jacksons Car Wash,2870 S. Market St.,Gilbert,85296,,(480) 294-6886,"1-Day, 7-Day",,,-111.750939568585,33.292734316315
-111.897294745688,33.6188460756323,93,Jacksons Car Wash,14717 N. Northsight Blvd.,Scottsdale,85260,,(480) 355-0300,"1-Day, 7-Day",,,-111.897294745688,33.6188460756323
-112.039365874225,33.5060502777586,94,Jacksons Car Wash,1954 E. Highland Ave.,Phoenix,85016,,(602) 277-8877,"1-Day, 7-Day",,,-112.039365874225,33.5060502777586
-111.788925624947,33.2768410979599,95,Jacksons Car Wash,4027 S. Gilbert Rd.,Gilbert,85296,,(480) 355-0399,"1-Day, 7-Day",,,-111.788925624947,33.2768410979599
-111.900091276817,33.4296598096995,96,Jacksons Car Wash,2090 Rio Salado Pkwy.,Tempe,85281,,(480) 751-3060,"1-Day, 7-Day",,,-111.900091276817,33.4296598096995
-111.981435223914,33.595959892471,97,Jacksons Car Wash,12020 N. Tatum Blvd.,Phoenix,85028,,(602) 494-9924,"1-Day, 7-Day",,,-111.981435223914,33.595959892471
-111.926248278185,33.6371802762466,98,Jacksons Food Store,16610 N. Scottsdale Rd.,Scottsdale,85254,,(480) 922-7005,"1-Day, 7-Day",,,-111.926248278185,33.6371802762466
-112.087764557381,33.571210733838,99,Dollar Store and More,1109 W. Hatcher Rd.,Phoenix,85021,,(602) 674-3007,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.087764557381,33.571210733838
-112.154634813022,33.581949263849,100,Come-N-Go Market,4432 W. Peoria Ave.,Glendale,85302,,(623) 931-0443,1-Day,,"1-Day, 31-Day",-112.154634813022,33.581949263849
-111.918003650638,33.4147897930298,101,Food City 96,1338 E. Apache Blvd.,Tempe,85281,,(480) 557-9301,1-Day,,1-Day,-111.918003650638,33.4147897930298
-112.243904456507,33.6325357938545,102,Jacksons Car Wash,8369 W. Bell Rd.,Peoria,85345,,(623) 875-0200,"1-Day, 7-Day",,,-112.243904456507,33.6325357938545
-111.857337063939,33.4572359618193,103,Food City 123,822 S. Alma School Rd.,Mesa,85201,,(480) 827-7600,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.857337063939,33.4572359618193
-111.98624077073,33.46574523735,104,Food City 143,4430 E. McDowell Rd. ,Phoenix,85008,,(602) 275-2141,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-111.98624077073,33.46574523735
-111.926422843288,33.4497109114753,105,Food City 41,1845 N. Scottsdale Rd.,Tempe,85281,,(480) 425-5580,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.926422843288,33.4497109114753
-111.802163659973,33.4152472765644,106,Food City 10,1342 E. Main St.,Mesa,85203,,(480) 969-1368,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.802163659973,33.4152472765644
-112.073278890641,33.3923081191235,107,Food City 107,7227 S. Central Ave.,Phoenix,85040,,(602) 243-6770,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-112.073278890641,33.3923081191235
-111.979499950555,33.3311464568149,108,Bashas 11,4855 E. Warner Rd.,Phoenix,85044,,(480) 496-8191,"1-Day, 7-Day, 15-Day",,,-111.979499950555,33.3311464568149
-111.948963118872,33.3781701252198,109,Food City 157,725 W. Baseline Rd.,Tempe,85283,,(480) 456-3201,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.948963118872,33.3781701252198
-112.3410487643,33.4558177290581,110,Food City 93,1450 N. Dysart ,Avondale,85323,,(623) 925-1515,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-112.3410487643,33.4558177290581
-111.821534356285,33.3933719939324,111,Food City 25,450 E. Southern Ave.,Mesa,85204,,(480) 834-3594,"1-Day, 7-Day",,"1-Day, 7-Day",-111.821534356285,33.3933719939324
-112.064967585881,33.5175598956402,112,Bashas 158,5555 N. 7th St.,Phoenix,85014,,(602) 222-1820,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-112.064967585881,33.5175598956402
-112.117852626968,33.4510607554961,113,Food City 132,2709 W. Van Buren,Phoenix,85009,,(602) 272-0652,"1-Day, 7-Day",,1-Day,-112.117852626968,33.4510607554961
-112.116871596914,33.5243341326167,114,Food City 149,6025 N. 27th Ave.,Phoenix,85017,,(602) 249-4184,"1-Day, 7-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.116871596914,33.5243341326167
-111.822564080731,33.435545058409,115,Bashas 2,339 E. Brown Rd.,Mesa,85203,,(480) 898-3352,1-Day,,1-Day,-111.822564080731,33.435545058409
-111.834121365115,33.4141745421666,116,TLC Inconvenience Store,34 S. MacDonald,Mesa,85210,,(480) 232-9789,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-111.834121365115,33.4141745421666
-112.06506015858,33.531122976393,117,Maryland Deli and Liquor,6502 N. 7th St.,Phoenix,85014,,(602)277-6269,"1-Day, 7-Day",,1-Day,-112.06506015858,33.531122976393
-112.091346488717,33.5748764955297,118,Country Store,1501 W. Mountain View Rd.,Phoenix,85021,,(602)943-7730,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 15-Day, 31-Day",-112.091346488717,33.5748764955297
-111.863158346731,33.3060050496005,119,Safeway 1604,"1159 W. Chandler Blvd.		
",Chandler,85224,,(480) 726-7776,"1-Day, 7-Day, 31-Day",,1-Day,-111.863158346731,33.3060050496005
-112.012733428409,33.4657634052608,120,Mr. J's Market #2,3202 E. McDowell Rd.,Phoenix,85008,,(602) 275-0669,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.012733428409,33.4657634052608
-112.200340018911,33.4803980442387,121,Food City 140,6544 W. Thomas Rd.,Phoenix,85033,,(623) 849-5580,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 15-Day, 31-Day",-112.200340018911,33.4803980442387
-112.138787446591,33.8672381914301,122,Safeway,"3655 W. Anthem Way	
",Phoenix,85086,,(623) 551-0200,"1-Day, 7-Day, 31-Day",,1-Day,-112.138787446591,33.8672381914301
-112.065253754686,33.5597648379734,123,Stop and Go Market,8359 N. 7th St.,Phoenix,85020,,(602) 870-6991,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-112.065253754686,33.5597648379734
-112.140521651299,33.7127929350744,124,Safeway 2821,3800  W. Happy Valley Rd.,Glendale,85310,,(623) 518-1946,"1-Day, 7-Day, 31-Day",,1-Day,-112.140521651299,33.7127929350744
-112.169551004541,33.4659996260364,125,Food City 135,5114 W. McDowell Rd.,Phoenix,85035,,(602) 278-2005,"1-Day, 7-Day, 31-Day",,,-112.169551004541,33.4659996260364
-111.822929957661,33.3207835996085,126,Safeway 1605,"1060 E. Ray Rd.		
",Chandler,85225,,(480) 855-5005,"1-Day, 7-Day, 31-Day",,1-Day,-111.822929957661,33.3207835996085
-111.859645019706,33.3641976116294,127,Safeway 0247,"1225 W. Guadalupe		
",Mesa,85202,,(480) 838-7452,"1-Day, 7-Day, 31-Day",,1-Day,-111.859645019706,33.3641976116294
-111.92502821296,33.6291155017741,128,Jacksons Car Wash,15515 N. Scottsdale Rd.,Scottsdale,85260,,(480) 348-1909,"1-Day, 7-Day",,,-111.92502821296,33.6291155017741
-111.755716604547,33.3485214777097,129,Safeway 1534,"90 S. Val Vista Dr.		
",Gilbert,85296,,(480) 545-7555,"1-Day, 7-Day, 31-Day",,1-Day,-111.755716604547,33.3485214777097
-111.753059240058,33.3937240556941,130,Safeway 1637,"3622 E. Southern Ave.			
",Mesa,85206,,(480) 807-0447,"1-Day, 7-Day, 31-Day",,1-Day,-111.753059240058,33.3937240556941
-112.133248318129,33.6396534126291,131,Safeway 0240,3450 W. Bell Rd.,Phoenix,85053,,(602) 863-1431,"1-Day, 7-Day, 31-Day",,1-Day,-112.133248318129,33.6396534126291
-111.996910060352,33.3047402698656,132,Safeway 1201,"4005 E. Chandler Blvd. 	",Phoenix,85044,,(480) 759-9611,"1-Day, 7-Day, 31-Day",,1-Day,-111.996910060352,33.3047402698656
-112.322467793734,33.7405678490235,133,Safeway 2799,"28455 N. Vistancia Blvd.		
",Peoria,85383,,(623) 243-9204,"1-Day, 7-Day, 31-Day",,1-Day,-112.322467793734,33.7405678490235
-112.080990473642,33.4876042848083,134,Safeway 0174,520 W. Osborn Rd.,Phoenix,85013,,(602) 274-7422,"1-Day, 7-Day, 31-Day",,1-Day,-112.080990473642,33.4876042848083
-111.772029769202,33.4227076716043,135,Safeway 1567,"2740 E. University		
",Mesa,85213,,(480) 833-9338,"1-Day, 7-Day, 31-Day",,1-Day,-111.772029769202,33.4227076716043
-112.067177832879,33.6403080450088,136,Safeway 0413,"550 E. Bell Rd.	
",Phoenix,85022,,(602) 863-4194,"1-Day, 7-Day, 31-Day",,1-Day,-112.067177832879,33.6403080450088
-111.873552147715,33.4148855107923,137,Safeway 1717,"1960 W. Main St.	
",Mesa,85201,,(480) 644-7776,"1-Day, 7-Day, 31-Day",,1-Day,-111.873552147715,33.4148855107923
-111.981096314001,33.3489138788903,138,Safeway 0752,"4747 E. Elliot Rd.		
",Phoenix,85044,,(480) 496-0076,"1-Day, 7-Day, 31-Day",,1-Day,-111.981096314001,33.3489138788903
-112.068961242406,33.4657548941831,139,Safeway 2651,"340 E. McDowell Rd. 		",Phoenix,85004,,(602) 252-4538,"1-Day, 7-Day, 31-Day",,1-Day,-112.068961242406,33.4657548941831
-112.06276735338,33.5382951807697,140,Safeway 1515,"810 E. Glendale Ave.		
",Phoenix,85020,,(602) 331-0134,"1-Day, 7-Day, 31-Day",,1-Day,-112.06276735338,33.5382951807697
-112.23769559284,33.5069390881645,141,Safeway 1654,4811 N. 83rd Ave.,Phoenix,85033,,(623) 247-4447,"1-Day, 7-Day, 31-Day",,1-Day,-112.23769559284,33.5069390881645
-112.014778141067,33.5099756564465,142,Safeway 2042,"3132 E. Camelback Rd.		
",Phoenix,85016,,(602) 955-6455,"1-Day, 7-Day, 31-Day",,1-Day,-112.014778141067,33.5099756564465
